instanceNumber,instanceUUID,expositionEventLineCount,syntaxErrors,syntaxErrorRate,conversionErrors,conversionErrorRate,structuralErrors,structuralErrorRate,totalErrors,totalErrorRate,warningCount,errorCount
204807,eb7fd8b3-341f-4382-a14f-cb283afcb6d5_v2,203,0,0,0,0,0,0,0,0,0,0
204906,43070dd2-55ff-42a6-a030-cbb48b95b84e_v2,333,0,0,0,0,0,0,0,0,0,0
204908,04c8a558-518d-4846-bb4c-af260988f56a_v2,1800,1,0.0556,6,0.3333,5,0.2778,12,0.6667,1,0
204913,0469dd49-5ae0-4224-bc36-5250f80c2a68_v2,4944,1,0.0202,9,0.1820,9,0.1820,19,0.3843,1,0
205035,d1f4e2b0-201a-44c6-887d-0aa88ad9a347_v2,1172,0,0,2,0.1706,2,0.1706,4,0.3413,0,0
205040,ab5f091a-c6cf-4a40-b987-1d1fbe649b0c_v2,365,1,0.2740,0,0,0,0,1,0.2740,1,0
205044,0538d76d-7f0e-483a-97ba-1b1001be5191_v2,210,0,0,0,0,0,0,0,0,0,0
205045,d46e6cf4-1b8b-4dfb-9b34-fe2ebc4f396a_v2,1955,0,0,3,0.1535,3,0.1535,6,0.3069,0,0
205049,f71a842c-1686-44ed-a056-40542c3a5355_v2,5462,0,0,6,0.1098,6,0.1098,12,0.2197,0,0
205050,63be87ed-a212-43c3-a92f-7ab4855e2c8c_v2,497,0,0,0,0,0,0,0,0,0,0
205053,ffb170f1-5a74-4206-aaf1-58f8d5fa1ecd_v2,5901,,NaN,,NaN,,NaN,NaN,NaN,,
205055,1466eb54-46fc-4465-b3cc-588e3d801870_v2,578,,NaN,,NaN,,NaN,NaN,NaN,,
205128,9556aa6c-1fe2-4258-a6dd-a9853ff821c9_v2,774,0,0,0,0,0,0,0,0,0,0
205130,cc470b69-3f2d-4c71-8cf1-a48ebc00c536_v2,130,0,0,0,0,0,0,0,0,0,0
205693,a2a36b0c-b547-4cff-b2ff-054a17273a8a_v2,145,0,0,0,0,0,0,0,0,0,0
205814,4a372421-4fd1-4811-8282-61fa747ff342_v2,545,0,0,1,0.1835,1,0.1835,2,0.3670,0,0
205820,3d59eeac-7bb0-4e10-b2f2-178b27bd2308_v2,3176,7,0.2204,9,0.2834,8,0.2519,24,0.7557,7,0
205898,2551ab5b-354f-4a7e-bcb7-17b0b037a98b_v2,239,0,0,0,0,0,0,0,0,0,0
205919,3826c470-ed34-44b7-b759-3d8718489c9d_v2,589,1,0.1698,1,0.1698,1,0.1698,3,0.5093,1,0
